time,Hw_hx_pri,core_T_out,core_delta_p,core_heating:power_shape_fn:integral,core_p_in,core_p_out,fD_hx_pri,hx_pri_T_out,hx_sec_T_in,hx_sec_T_out,m_dot_pump,m_dot_sec,power_to_coolant,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,pump:T,pump:p,pump:rhoEV,pump:rhoV,pump:rhouV,pump:rhovV,pump:rhowV,pump:vel,total_power:power
0,0,0,0,0.00031415926535898,0,0,0,0,0,0,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,300,1000000,14.925373134328,1.6036319441142e-05,0,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,300,1000000,149.25373134328,0.00016036319441142,0,0,0,0,2000
1,9.4169787298182,300.01178671413,0.15078793093562,0.00031415926535898,1000000.3156484,1000000.1648604,1.0055474998103,299.99997264359,299.84608229919,299.84504925934,0.00098808557618007,0.10000013029325,0.70953009149508,14.925457044882,1.6036373353772e-05,0,0,1.310015258825e-06,14.925296465039,1.6035651152154e-05,0,0,1.310567892393e-06,300.00000078271,999999.99998416,14.925373183463,1.6036319399049e-05,1.258355581772e-06,5.7977435212134e-10,0,0.078469110275339,14.925079382748,1.6036130386383e-05,0,0,-1.0658602218395e-06,14.925662471399,1.6036505556421e-05,0,0,-1.0658582452664e-06,300.00000801785,1000000.0589239,149.25374063441,0.00016036319957475,-1.2619177849065e-05,1.5413173398564e-21,7.7065866992821e-22,0.078691232667648,2000
3,34.74308880435,300.1735222545,0.29263718088623,0.00031415926535898,1000000.8020564,1000000.5094192,1.0026860944255,300.00011682499,299.85215920212,299.84505088867,0.0042145317749942,0.29999996653916,6.6744944204592,14.925723651218,1.6036543086192e-05,0,0,5.5876857848295e-06,14.925043971986,1.602685667742e-05,0,0,5.590157635702e-06,300.03938161724,1000000.0002311,14.925374036393,1.6034214600507e-05,5.3681636189008e-06,5.4108758123225e-09,0,0.33479446793074,14.924126978736,1.6034828674682e-05,0,0,-4.5461609445278e-06,14.926613017312,1.6037106550154e-05,0,0,-4.5462280614694e-06,300.00008105194,1000000.1037183,149.25375583296,0.00016036316771821,-5.3754346143586e-05,6.5716624976253e-21,3.2858312488126e-21,0.33520381836086,2000
7,61.751295703877,300.57317479994,0.30809280578978,0.00031415926535898,1000001.3830928,1000001.0749999,1.001951443212,300.05881451961,299.87782760691,299.84505742954,0.0079862866816067,0.69999999246309,25.640900960302,14.926037039205,1.6035167262697e-05,0,0,1.0589364198085e-05,14.924752444607,1.6005355914811e-05,0,0,1.0592073261447e-05,300.41434832665,1000000.0011255,14.925376379834,1.6014201267532e-05,1.0169073394334e-05,1.6643817837875e-08,0,0.63500432178835,14.923020406284,1.6018034932708e-05,0,0,-8.6113867112659e-06,14.92772227707,1.6034679253675e-05,0,0,-8.6147517303871e-06,300.04371122469,1000000.0243038,149.25376732012,0.00016033983614017,-0.00010185184139457,1.2453369773293e-20,6.2266848866467e-21,0.63522480655105,2000
12,71.359055051395,301.10407921117,0.35547336295713,0.00031415926535898,1000001.7857041,1000001.4302307,1.0018007994796,300.25035895694,299.91546982364,299.84506913091,0.0093794269477846,0.9999999113182,49.350157136676,14.926156106464,1.6027647713978e-05,0,0,1.2438631884095e-05,14.924646437901,1.597706781799e-05,0,0,1.2442101256554e-05,300.95911009571,1000000.0018758,14.925377623262,1.5985214203473e-05,1.1942255279998e-05,2.4345704302153e-08,0,0.74708289446512,14.922613557692,1.5989248426849e-05,0,0,-1.0111215997618e-05,14.928133975366,1.6024714829106e-05,0,0,-1.0117495618912e-05,300.21353229892,1000000.1017237,149.25379117739,0.00016024914949319,-0.00011962740197705,1.4626782561623e-20,7.3133912808115e-21,0.74650881053278,2000
17,73.956586728851,301.70509748388,0.36726775893476,0.00031415926535898,1000002.0184741,1000001.6512063,1.0017653825097,300.49990123826,299.94548702871,299.84508238119,0.0097599454853685,0.99999997172438,71.344524994256,14.926190585757,1.6015879157016e-05,0,0,1.2944488084246e-05,14.924618475787,1.5945224413204e-05,0,0,1.2948741931353e-05,301.5513571707,1000000.0022835,14.925378008541,1.5953819238178e-05,1.2427240611529e-05,2.8632708324105e-08,0,0.77895288966452,14.922501995146,1.5958018673941e-05,0,0,-1.0520588060327e-05,14.92824882059,1.6011482255149e-05,0,0,-1.0527959094551e-05,300.45202098222,1000000.2229263,149.25381300615,0.00016012196852896,-0.00012448572797087,1.5220729242863e-20,7.6103646214313e-21,0.77744315233268,2000
22,74.747623732443,302.35167628419,0.37373092747293,0.00031415926535898,1000002.1747122,1000001.8009812,1.001754978735,300.77836204848,299.96859428941,299.84509791663,0.0098762359986757,0.99999996955179,92.264912576496,14.926202487464,1.6001833708105e-05,0,0,1.3099357599154e-05,14.924610336921,1.5911121845781e-05,0,0,1.3104053759686e-05,302.18842999367,1000000.0025223,14.925378138787,1.5920185443823e-05,1.257553869277e-05,3.1253466126839e-08,0,0.78991401033347,14.922466754839,1.5924698616457e-05,0,0,-1.0645383635042e-05,14.928285822245,1.5996683386108e-05,0,0,-1.065341083566e-05,300.72493988303,1000000.3265875,149.25382968541,0.00015997666855939,-0.00012597204766972,1.5402361240568e-20,7.701180620284e-21,0.78744012363871,2000
27,75.033470312212,303.02316407895,0.37861291365698,0.00031415926535898,1000002.2824719,1000001.903859,1.0017512612849,301.076717467,299.98561346194,299.84511647405,0.0099183822214119,0.99999997050599,112.59458728567,14.926207663516,1.5986468440647e-05,0,0,1.3155661615501e-05,14.924607359817,1.5875862451376e-05,0,0,1.3160596177832e-05,302.85416343857,1000000.0026684,14.925378194541,1.5885189724842e-05,1.2629271160641e-05,3.2894638362821e-08,0,0.79503702622305,14.92245245268,1.5889925419423e-05,0,0,-1.0690376294129e-05,14.928300666698,1.5980841431034e-05,0,0,-1.0698886708928e-05,301.01955897966,1000000.3997514,149.25384108035,0.00015982010510585,-0.00012651182443484,1.546827562336e-20,7.7341378116798e-21,0.79158892024912,2000
32,75.155932145479,303.70936318317,0.3827029466629,0.00031415926535898,1000002.3595532,1000001.9768502,1.0017496753962,301.38998715155,299.99742935063,299.84513878525,0.0099364913197028,0.99999997339485,132.53543169195,14.92621044809,1.5970206967893e-05,0,0,1.317997435087e-05,14.924605836679,1.5839992272677e-05,0,0,1.3185053257903e-05,303.53704057711,1000000.0027619,14.925378225681,1.5849452299076e-05,1.2652370326215e-05,3.3940317724815e-08,0,0.79828726004433,14.922444666602,1.5854310258228e-05,0,0,-1.0709587881286e-05,14.928308164003,1.5964235920873e-05,0,0,-1.0718435125109e-05,301.33002461091,1000000.4488195,149.25384864013,0.00015965544747087,-0.0001267444965963,1.5496656325089e-20,7.7483281625446e-21,0.7938626498756,2000
37,75.21503728345,304.40494533407,0.38634826580528,0.00031415926535898,1000002.4173506,1000002.0310024,1.0017489114187,301.71449148959,300.00494679366,299.84516556765,0.0099452554383391,0.99999997755612,152.16778672378,14.926212201423,1.5953293714912e-05,0,0,1.3191817475904e-05,14.924604772518,1.5803796760967e-05,0,0,1.3196989713685e-05,304.23064459872,1000000.0028244,14.925378247119,1.5813317728976e-05,1.2663566043942e-05,3.4618787027705e-08,0,0.80081951049904,14.92243928107,1.5818235894326e-05,0,0,-1.071882351534e-05,14.928312730197,1.5947069045946e-05,0,0,-1.0727903735831e-05,301.65241512225,1000000.4815557,149.25385366988,0.00015948482120083,-0.0001268575974676,1.5510428036184e-20,7.7552140180919e-21,0.79542113482918,2000
42,75.245267982959,305.10662725446,0.38973616913427,0.00031415926535898,1000002.4628012,1000002.073065,1.0017485210257,302.04772201321,300.00926243759,299.84519751973,0.0099497515737542,0.99999998174329,171.52846392698,14.926213436937,1.5935892641647e-05,0,0,1.3197947172624e-05,14.924603868104,1.5767451033274e-05,0,0,1.3203180059402e-05,304.93117442263,1000000.0028678,14.925378264063,1.5776989201738e-05,1.2669321998452e-05,3.5064935099484e-08,0,0.80302840808474,14.922434930511,1.5781930165838e-05,0,0,-1.072352150988e-05,14.92831592615,1.5929477863926e-05,0,0,-1.0732768766804e-05,301.98401717818,1000000.5035097,149.25385704857,0.00015930969789824,-0.00012691600226199,1.5517518840105e-20,7.7587594200527e-21,0.7966621237526,2000
